epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4483,2.00224,2.79252,1.30153,0.7796,0.1859,0.31514,0.15206,1.7998,2.44059,1.20251,0.00047092,0.00047092,0.00047092
2,151.42,1.66243,1.82664,1.18731,0.43274,0.42614,0.3693,0.19781,1.86028,1.94595,1.18568,0.000937876,0.000937876,0.000937876
3,228.236,1.62905,1.65399,1.16854,0.41384,0.56954,0.5028,0.244,1.6959,1.71965,1.1642,0.0013954,0.0013954,0.0013954
4,306.439,1.55784,1.50528,1.13492,0.51264,0.41988,0.43225,0.23336,1.64032,1.68547,1.13419,0.00138656,0.00138656,0.00138656
5,389.329,1.51689,1.37011,1.10155,0.66468,0.41488,0.49667,0.28494,1.78147,1.85641,1.15807,0.00137241,0.00137241,0.00137241
6,476.129,1.48892,1.35836,1.09904,0.5494,0.49299,0.48223,0.27209,1.69772,1.66055,1.15902,0.00135826,0.00135826,0.00135826
7,561.911,1.51068,1.36212,1.11685,0.59466,0.54959,0.54378,0.27756,1.77237,1.49514,1.20079,0.00134412,0.00134412,0.00134412
8,649.981,1.44685,1.29052,1.08825,0.65623,0.52305,0.58572,0.29932,1.76142,1.62703,1.19868,0.00132997,0.00132997,0.00132997
9,741.033,1.40124,1.24418,1.09067,0.68706,0.56165,0.61289,0.33466,1.74745,1.5041,1.19473,0.00131582,0.00131582,0.00131582
10,834.8,1.37617,1.1582,1.06495,0.6411,0.4928,0.5596,0.30789,1.68023,1.44876,1.16865,0.00130168,0.00130168,0.00130168
11,944.112,1.39813,1.1861,1.07587,0.64599,0.49682,0.58902,0.29588,1.75774,1.45063,1.16836,0.00128753,0.00128753,0.00128753
12,1049.69,1.34199,1.13223,1.07038,0.63042,0.58454,0.62608,0.32321,1.71902,1.35903,1.18458,0.00127338,0.00127338,0.00127338
13,1152.21,1.30894,1.08433,1.05482,0.61526,0.55092,0.58248,0.35018,1.6701,1.49487,1.16226,0.00125923,0.00125923,0.00125923
14,1261.82,1.3063,1.08114,1.05086,0.66308,0.46289,0.54379,0.30068,1.7125,1.5804,1.19693,0.00124509,0.00124509,0.00124509
15,1363.68,1.29946,1.08588,1.04016,0.56839,0.56617,0.58654,0.31773,1.73883,1.50471,1.1784,0.00123094,0.00123094,0.00123094
16,1464.74,1.29645,1.04367,1.02875,0.7091,0.56104,0.60581,0.32792,1.73975,1.37283,1.18222,0.00121679,0.00121679,0.00121679
17,1566.26,1.27213,1.00701,1.0266,0.68868,0.51275,0.63648,0.35021,1.75511,1.48838,1.15898,0.00120265,0.00120265,0.00120265
18,1675.19,1.24392,0.97376,1.00877,0.68659,0.50645,0.56919,0.32409,1.68251,1.59423,1.14049,0.0011885,0.0011885,0.0011885
19,1786.86,1.25094,0.97327,1.01093,0.65697,0.54797,0.61688,0.31774,1.76463,1.39542,1.14465,0.00117435,0.00117435,0.00117435
20,1898.85,1.2561,0.97572,1.01822,0.51812,0.54459,0.44415,0.22231,1.77833,1.72203,1.17835,0.00116021,0.00116021,0.00116021
21,2011.29,1.24803,0.97359,1.01364,0.67981,0.5634,0.63143,0.35243,1.68284,1.31379,1.13605,0.00114606,0.00114606,0.00114606
22,2122.82,1.20684,0.9251,1.0101,0.58814,0.55793,0.58277,0.33509,1.68287,1.48137,1.15489,0.00113191,0.00113191,0.00113191
23,2232.3,1.20026,0.90996,1.00373,0.62474,0.56592,0.60809,0.35,1.77659,1.32182,1.17473,0.00111776,0.00111776,0.00111776
24,2336.33,1.21547,0.91157,1.00119,0.68226,0.50146,0.59565,0.31634,1.80265,1.35532,1.18654,0.00110362,0.00110362,0.00110362
25,2441.39,1.2067,0.88302,0.99275,0.60512,0.54268,0.58633,0.31742,1.63926,1.38061,1.13938,0.00108947,0.00108947,0.00108947
26,2546.32,1.1919,0.88527,0.9885,0.63232,0.55532,0.60074,0.3437,1.56541,1.47563,1.12727,0.00107532,0.00107532,0.00107532
27,2652.13,1.17545,0.87014,0.97739,0.69766,0.52337,0.62273,0.35724,1.6003,1.30883,1.12115,0.00106118,0.00106118,0.00106118
28,2758.19,1.1196,0.83874,0.9743,0.6157,0.56115,0.61182,0.34855,1.66733,1.26539,1.13394,0.00104703,0.00104703,0.00104703
29,2866.94,1.13356,0.84001,0.96963,0.60605,0.57705,0.62412,0.34936,1.71933,1.29269,1.15846,0.00103288,0.00103288,0.00103288
30,2973.82,1.14547,0.87067,0.9805,0.62874,0.53678,0.58017,0.33295,1.74851,1.6771,1.18159,0.00101873,0.00101873,0.00101873
31,3074.15,1.16402,0.85438,0.98111,0.76908,0.53013,0.63642,0.36129,1.60427,1.29309,1.13147,0.00100459,0.00100459,0.00100459
32,3185.56,1.1301,0.82049,0.96255,0.69052,0.56107,0.60425,0.33724,1.63637,1.29949,1.14125,0.00099044,0.00099044,0.00099044
33,3297.03,1.1025,0.80645,0.96116,0.66757,0.52736,0.59869,0.32211,1.76792,1.32366,1.18051,0.000976293,0.000976293,0.000976293
